prb_alloc,DRB.UEThpUl,target_prb_ratio
8,942.0,66
50,4420.0,66
66,5749.0,66
46,4011.0,66
58,5215.0,66
60,5273.0,66
75,5681.0,66
73,5594.0,66
2,0.0,66
85,5510.0,66
36,3173.0,66
1,0.0,66
32,2736.0,66
40,3508.0,66
17,1516.0,66
26,2496.0,66
45,3988.0,66
34,2944.0,66
18,1951.0,66
82,5563.0,66
28,2699.0,66
39,3507.0,66
48,4238.0,66
22,2318.0,66
58,5175.0,66
91,5504.0,66
67,5368.0,66
57,4917.0,66
96,5274.0,66
30,2642.0,66
3,0.0,66
75,5461.0,66
97,5322.0,66
25,2586.0,66
88,5559.0,66
94,5713.0,66
9,924.0,66
39,3507.0,66
55,4829.0,66
91,5157.0,66
9,924.0,66
22,2345.0,66
99,5504.0,66
77,5590.0,66
33,2925.0,66
85,5579.0,66
21,2078.0,66
77,5490.0,66
25,2478.0,66
31,2741.0,66
99,5601.0,66
44,3863.0,66
2,0.0,66
89,4828.0,66
63,5513.0,66
82,5600.0,66
69,5583.0,66
42,3754.0,66
32,2746.0,66
25,2545.0,66
82,5377.0,66
92,5825.0,66
80,5367.0,66
96,6029.0,66
98,5279.0,66
74,5328.0,66
92,5559.0,66
7,712.0,66
27,2641.0,66
40,3516.0,66
19,1958.0,66
73,5544.0,66
91,5781.0,66
18,1961.0,66
12,1359.0,66
56,4942.0,66
71,5706.0,66
81,5600.0,66
31,2736.0,66
3,0.0,66
29,2672.0,66
49,4367.0,66
24,2457.0,66
67,5416.0,66
51,4435.0,66
87,5358.0,66
60,5265.0,66
27,2645.0,66
83,5483.0,66
76,5385.0,66
6,710.0,66
29,2654.0,66
83,5776.0,66
77,5545.0,66
80,5538.0,66
69,5596.0,66
3,0.0,66
90,5591.0,66
4,369.0,66
66,5754.0,66
63,5437.0,66
38,3335.0,66
57,4924.0,66
9,937.0,66
84,5585.0,66
59,5181.0,66
75,5517.0,66
35,3186.0,66
46,3998.0,66
80,5285.0,66
29,2673.0,66
95,5646.0,66
93,4510.0,66
44,3878.0,66
56,4947.0,66
81,5644.0,66
19,1949.0,66
33,2935.0,66
49,4374.0,66
89,5506.0,66
60,5292.0,66
93,5713.0,66
29,2678.0,66
34,2926.0,66
50,4387.0,66
22,2367.0,66
14,1352.0,66
53,4750.0,66
37,3329.0,66
61,5272.0,66
61,5277.0,66
100,5536.0,66
11,1200.0,66
27,2629.0,66
85,5347.0,66
84,5611.0,66
66,5480.0,66
33,2937.0,66
41,3761.0,66
93,5556.0,66
34,2924.0,66
83,5174.0,66
48,4232.0,66
62,5416.0,66
17,1538.0,66
7,709.0,66
61,5279.0,66
6,710.0,66
46,4007.0,66
20,2071.0,66
19,1957.0,66
92,5897.0,66
56,4930.0,66
65,5621.0,66
72,5569.0,66
29,2645.0,66
67,5473.0,66
90,5333.0,66
1,0.0,66
7,710.0,66
78,5564.0,66
95,5674.0,66
55,4832.0,66
57,4931.0,66
92,5816.0,66
77,5714.0,66
7,711.0,66
74,5535.0,66
3,0.0,66
63,5462.0,66
52,4737.0,66
12,1360.0,66
16,1529.0,66
76,5650.0,66
39,3509.0,66
91,4774.0,66
79,5474.0,66
68,5474.0,66
28,2640.0,66
15,1364.0,66
27,2635.0,66
18,1957.0,66
10,1193.0,66
14,1358.0,66
56,4913.0,66
51,4483.0,66
64,5341.0,66
93,5423.0,66
25,2522.0,66
29,2649.0,66
77,5529.0,66
65,5525.0,66
30,2659.0,66
1,0.0,66
66,5756.0,66
84,5728.0,66
58,5178.0,66
6,713.0,66
96,5336.0,66
98,5691.0,66
10,1206.0,66
4,367.0,66
93,5409.0,66
19,1952.0,66
55,4827.0,66
49,4371.0,66
8,940.0,66
46,4012.0,66
91,5743.0,66
60,5272.0,66
84,5578.0,66
6,708.0,66
54,4863.0,66
81,5569.0,66
69,5545.0,66
56,5018.0,66
6,711.0,66
47,4241.0,66
21,2068.0,66
3,0.0,66
54,4818.0,66
75,5716.0,66
80,5388.0,66
82,5304.0,66
11,1200.0,66
3,0.0,66
20,2082.0,66
6,705.0,66
35,3173.0,66
8,929.0,66
43,3844.0,66
4,370.0,66
82,5633.0,66
34,2932.0,66
83,5691.0,66
24,2461.0,66
33,2939.0,66
14,1357.0,66
91,5692.0,66
100,6455.0,66
91,4800.0,66
64,5606.0,66
86,5395.0,66
31,2744.0,66
11,1208.0,66
63,5465.0,66
86,5663.0,66
34,2931.0,66
93,5481.0,66
70,5455.0,66
53,4750.0,66
24,2458.0,66
38,3326.0,66
41,3750.0,66
69,5555.0,66
93,5670.0,66
14,1357.0,66
71,5706.0,66
88,5590.0,66
60,5265.0,66
57,4987.0,66
55,4849.0,66
78,5373.0,66
82,5716.0,66
47,4244.0,66
84,5665.0,66
37,3335.0,66
35,3181.0,66
48,4229.0,66
8,907.0,66
61,5256.0,66
90,5618.0,66
76,5571.0,66
69,5510.0,66
73,5566.0,66
67,5487.0,66
42,3746.0,66
11,1195.0,66
100,5516.0,66
43,3832.0,66
39,3496.0,66
75,5306.0,66
83,5428.0,66
100,5676.0,66
88,5543.0,66
70,5504.0,66
88,5729.0,66
98,5530.0,66
70,5632.0,66
87,5536.0,66
5,366.0,66
93,5438.0,66
41,3756.0,66
13,1358.0,66
22,2288.0,66
21,2077.0,66
54,4831.0,66
76,5415.0,66
54,4833.0,66
46,3989.0,66
6,712.0,66
41,3744.0,66
9,925.0,66
68,5564.0,66
12,1358.0,66
2,0.0,66
64,5486.0,66
76,5459.0,66
8,877.0,66
80,5595.0,66
27,2657.0,66
83,5609.0,66
76,5481.0,66
43,3836.0,66
83,5486.0,66
85,5499.0,66
49,4367.0,66
25,2524.0,66
11,1197.0,66
77,5472.0,66
70,5520.0,66
67,5731.0,66
3,0.0,66
80,5581.0,66
31,2736.0,66
35,3163.0,66
21,2087.0,66
20,2067.0,66
20,2068.0,66
88,5330.0,66
45,4003.0,66
40,3501.0,66
10,1202.0,66
47,4229.0,66
97,5512.0,66
79,5175.0,66
68,5498.0,66
99,5240.0,66
89,5497.0,66
24,2478.0,66
92,5657.0,66
71,5398.0,66
55,4848.0,66
45,4011.0,66
49,4347.0,66
96,6343.0,66
10,1181.0,66
85,5712.0,66
36,3183.0,66
20,2078.0,66
39,3506.0,66
10,1194.0,66
65,5432.0,66
32,2736.0,66
7,711.0,66
50,4447.0,66
32,2750.0,66
43,3885.0,66
72,5574.0,66
85,5539.0,66
34,2930.0,66
12,1360.0,66
80,5525.0,66
20,2068.0,66
66,5536.0,66
100,5682.0,66
100,5868.0,66
45,4006.0,66
83,5382.0,66
33,2934.0,66
49,4355.0,66
64,5550.0,66
80,5522.0,66
2,0.0,66
89,6534.0,66
4,368.0,66
99,5513.0,66
13,1351.0,66
71,5679.0,66
9,943.0,66
48,4228.0,66
65,5570.0,66
84,5375.0,66
61,5269.0,66
62,5464.0,66
5,367.0,66
33,2926.0,66
66,5760.0,66
100,5644.0,66
86,5451.0,66
56,4957.0,66
99,6182.0,66
82,5327.0,66
69,5540.0,66
98,6680.0,66
27,2673.0,66
95,5266.0,66
81,5584.0,66
97,5562.0,66
87,5684.0,66
89,5919.0,66
94,5259.0,66
38,3327.0,66
43,3820.0,66
56,4896.0,66
96,6011.0,66
49,4368.0,66
55,4861.0,66
14,1358.0,66
96,5458.0,66
48,4243.0,66
28,2655.0,66
98,5533.0,66
17,1555.0,66
71,5278.0,66
88,5567.0,66
65,5574.0,66
27,2658.0,66
25,2496.0,66
41,3750.0,66
71,5477.0,66
14,1370.0,66
25,2477.0,66
67,5605.0,66
75,5529.0,66
15,1359.0,66
57,4926.0,66
16,1532.0,66
30,2654.0,66
34,2939.0,66
97,5008.0,66
35,3171.0,66
5,368.0,66
95,5702.0,66
63,5493.0,66
46,4013.0,66
8,935.0,66
90,5431.0,66
85,5542.0,66
62,5515.0,66
45,3997.0,66
81,5518.0,66
14,1363.0,66
72,5666.0,66
29,2646.0,66
34,2938.0,66
25,2511.0,66
11,1179.0,66
53,4740.0,66
90,5547.0,66
32,2728.0,66
1,0.0,66
94,5658.0,66
39,3513.0,66
26,2474.0,66
39,3501.0,66
98,5950.0,66
59,5197.0,66
94,5654.0,66
89,6688.0,66
28,2657.0,66
98,5607.0,66
23,2361.0,66
70,5581.0,66
97,5581.0,66
40,3504.0,66
3,0.0,66
72,5548.0,66
23,2307.0,66
82,5514.0,66
42,3759.0,66
90,5803.0,66
93,5503.0,66
51,4459.0,66
56,4907.0,66
93,6206.0,66
96,5500.0,66
20,2074.0,66
70,5624.0,66
8,844.0,66
46,4013.0,66
91,5258.0,66
87,5703.0,66
76,5370.0,66
43,3849.0,66
53,4731.0,66
40,3513.0,66
95,5937.0,66
2,0.0,66
60,5266.0,66
38,3329.0,66
95,5342.0,66
76,5681.0,66
96,5428.0,66
11,1195.0,66
40,3500.0,66
49,4373.0,66
15,1357.0,66
4,368.0,66
14,1358.0,66
58,5187.0,66
46,4006.0,66
79,5500.0,66
87,5553.0,66
86,5563.0,66
41,3747.0,66
94,5319.0,66
20,2080.0,66
63,5469.0,66
87,5711.0,66
20,2079.0,66
95,5615.0,66
99,6412.0,66
27,2682.0,66
17,1518.0,66
76,5440.0,66
61,5273.0,66
18,1953.0,66
7,712.0,66
100,5371.0,66
32,2744.0,66
96,5648.0,66
7,711.0,66
63,5523.0,66
28,2642.0,66
42,3749.0,66
58,5154.0,66
39,3512.0,66
36,3189.0,66
21,2070.0,66
26,2444.0,66
78,5495.0,66
14,1354.0,66
35,3180.0,66
95,5194.0,66
62,5443.0,66
35,3188.0,66
55,4829.0,66
97,5466.0,66
53,4730.0,66
12,1355.0,66
88,5576.0,66
92,5095.0,66
40,3484.0,66
80,5622.0,66
30,2646.0,66
9,934.0,66
26,2500.0,66
9,945.0,66
37,3312.0,66
100,5436.0,66
76,5559.0,66
61,5265.0,66
86,5594.0,66
51,4441.0,66
79,5618.0,66
50,4459.0,66
49,4350.0,66
15,1361.0,66
12,1362.0,66
75,5580.0,66
37,3320.0,66
47,4219.0,66
73,5472.0,66
59,5176.0,66
8,888.0,66
52,4728.0,66
60,5271.0,66
71,5645.0,66
62,5463.0,66
31,2741.0,66
32,2736.0,66
43,3824.0,66
80,5505.0,66
63,5466.0,66
24,2482.0,66
81,5326.0,66
47,4252.0,66
57,4918.0,66
60,5288.0,66
43,3861.0,66
47,4231.0,66
24,2460.0,66
26,2529.0,66
26,2516.0,66
4,365.0,66
14,1356.0,66
51,4442.0,66
96,5638.0,66
55,4851.0,66
36,3180.0,66
63,5497.0,66
24,2477.0,66
97,5256.0,66
93,5154.0,66
37,3334.0,66
49,4368.0,66
13,1362.0,66
55,4836.0,66
72,5604.0,66
10,1204.0,66
81,5630.0,66
79,5952.0,66
44,3871.0,66
51,4420.0,66
54,4846.0,66
6,712.0,66
74,5560.0,66
27,2642.0,66
12,1357.0,66
64,5490.0,66
91,5300.0,66
37,3299.0,66
98,5699.0,66
61,5280.0,66
95,5991.0,66
4,368.0,66
52,4761.0,66
6,714.0,66
40,3501.0,66
36,3185.0,66
15,1355.0,66
3,0.0,66
73,5563.0,66
82,5617.0,66
99,4956.0,66
34,2937.0,66
1,0.0,66
48,4224.0,66
91,5284.0,66
50,4427.0,66
